objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"HATE","233868","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136267133","6.04458","7.66347","2.4878","2857","3019","thing","HATE","2","6","120","120","60","2019","2,4,6","2,4","16+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"HATE: The Mother Prophecy","246987","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","136267146","5.59972","8.21712","3","0","1198","thing","HATE: The Mother Prophecy","2","6","120","120","60","2019","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Hegemony: Lead Your Class to Victory","321608","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135537056","7.81466","8.40747","4.2335","43","16936","thing","Hegemony: Lead Your Class to Victory","2","4","180","180","90","2023","2,3,4","4","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Hegemony: Lead Your Class to Victory – Crisis & Control","374250","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135537068","6.08353","8.43755","4.4815","0","4962","thing","Hegemony: Lead Your Class to Victory – Crisis & Control","1","4","180","180","90","2023","1,2,3,4","1,4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Heroscape Master Set: Age of Annihilation","368557","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","137370122","5.74347","8.69816","2.5","5354","796","thing","Heroscape Master Set: Age of Annihilation","2","2","120","120","60","2024","2","2","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Hoplomachus: Remastered","338434","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","136327630","6.11091","8.03276","2.7083","2540","2418","thing","Hoplomachus: Remastered","1","4","60","60","60","2023","1,2,4","2","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Horus Heresy","63543","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136130453","6.15184","7.04648","3.7758","2362","4552","thing","Horus Heresy","2","2","135","135","135","2010","2","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Icaion","276090","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135517276","5.85845","7.37673","3.2692","4090","1727","thing","Icaion","2","5","120","120","90","2020","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ivion: The Fox & The Forest","368720","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135537149","0","7.88","3","0","193","thing","Ivion: The Fox & The Forest","2","4","30","30","15","2023","2,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Ivion: The Hound & The Hare","264205","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135537118","5.56899","7.77671","2.6667","11016","334","thing","Ivion: The Hound & The Hare","2","4","30","30","15","2021","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Ivion: The Knight & The Lady","344117","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135537125","5.57097","7.69488","2.6667","10862","327","thing","Ivion: The Knight & The Lady","2","4","30","30","15","2021","2,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Ivion: The Ram & The Raven","368605","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","135537141","0","8.1","3","0","177","thing","Ivion: The Ram & The Raven","2","4","30","30","15","2023","2,4","2","12+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
